26,21,16,23,13,7,20,6,17,26,-,19,16,16,18,2,3,1,10,7,18,19,4,23,20,12,21,17,6,16,11,18,17,14,9,11,17,16,14,11,19,15,14,8,8,1,5,8,1,13,10,11,14,9,6,13,9
22,21,18,19,17,6,13,15,16,-,-,18,-,-,18,24,21,16,14,9,8,10,10,17,10,18,15,7,7,19,7,13,18,9,5,11,19,6,13,14,16,11,14,17,15,11,18,2,19,18,7,9,19,21,8,8,16
9,13,10,16,19,5,14,12,-,-,-,17,7,23,20,18,18,16,10,10,11,5,9,6,7,7,16,19,14,20,11,13,17,13,15,17,19,12,10,10,17,11,20,16,16,10,5,12,13,9,14,5,1,4,21,21,24
21,11,9,21,20,4,19,11,15,14,15,16,17,22,23,19,9,10,-,-,7,10,9,1,7,11,15,18,20,11,20,19,18,16,24,15,14,15,16,6,9,10,10,17,10,7,11,8,-,-,9,8,18,13,13,23,20
16,-,18,15,12,3,4,-,15,16,15,14,14,14,14,14,5,-,12,-,-,12,23,13,13,7,21,16,20,14,16,10,20,19,22,22,16,10,15,13,4,19,18,18,17,11,8,7,13,16,16,17,17,20,20,-,22
12,-,12,11,9,9,11,9,23,15,15,4,7,7,18,16,18,-,16,-,-,2,17,10,6,13,20,8,18,17,13,14,12,7,10,20,12,9,20,12,10,19,8,22,22,17,15,20,14,-,22,-,-,-,-,-,-
12,13,-,5,20,10,10,3,16,15,-,-,-,7,16,15,19,17,19,-,-,-,18,11,12,14,11,13,18,13,10,9,12,14,7,17,23,16,16,18,3,7,8,9,16,22,20,16,-,-,20,20,-,-,-,-,-
28,20,18,12,26,15,12,10,8,15,-,-,-,12,8,17,24,21,16,22,16,10,19,16,17,12,7,17,17,15,16,17,16,12,7,6,11,8,6,7,10,16,14,18,17,17,22,-,-,18,24,16,25,-,-,-,-
21,23,20,16,17,14,5,4,3,2,6,21,21,-,6,8,26,25,-,22,20,16,14,17,17,13,6,15,10,8,9,8,16,21,21,24,16,14,6,14,7,12,13,-,15,19,-,18,-,-,23,25,22,22,-,-,-
-,14,20,20,15,3,6,7,15,8,6,5,14,-,-,10,21,22,-,22,18,21,-,17,21,22,9,6,6,11,6,16,11,15,16,16,19,14,18,23,16,7,7,7,13,20,11,10,-,-,14,17,14,9,21,2,-
-,-,-,3,16,19,18,9,13,10,19,5,8,13,9,8,13,17,15,25,14,23,19,12,18,11,17,14,11,15,2,14,18,10,17,4,8,6,20,19,22,18,7,-,10,11,2,11,-,-,-,16,11,20,27,26,23
-,-,20,-,15,21,17,7,3,9,2,10,7,11,11,7,16,15,19,16,17,21,20,8,9,7,6,12,12,5,13,12,16,0,7,19,18,5,21,8,26,18,16,24,-,4,15,16,16,9,8,7,13,20,-,-,-
-,-,10,-,-,16,17,8,14,10,7,12,19,7,10,6,7,8,14,13,14,10,8,8,13,18,15,8,10,4,11,16,20,4,16,13,11,19,6,7,12,6,4,12,-,-,12,14,4,7,6,8,4,5,-,-,-
-,-,-,-,-,-,15,15,17,13,22,16,17,14,3,10,13,12,14,16,7,10,12,4,12,3,16,11,10,18,15,11,11,11,9,14,5,9,15,9,11,7,-,8,-,12,3,9,2,17,24,-,-,-,-,-,-
3,-,-,-,-,-,-,14,13,12,9,12,16,15,7,17,10,12,11,6,14,12,15,10,12,9,9,15,4,14,17,8,8,17,18,11,12,7,14,13,11,4,6,5,4,3,5,20,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,1,-,12,11,18,17,4,19,20,15,13,11,9,9,8,4,3,15,2,3,17,9,15,12,24,21,12,19,16,18,17,14,13,11,11,7,13,14,16,12,19,-,-,-,-,-,25,-,16,-,-
-,-,-,-,-,-,-,-,19,26,10,15,19,8,22,11,12,10,19,14,17,19,13,17,14,3,12,16,13,13,4,13,13,22,24,18,14,13,6,6,13,5,10,-,-,29,-,-,-,-,10,-,25,-,-,26,-
-,-,-,-,-,28,-,-,-,19,10,9,18,9,12,15,11,14,11,12,17,16,10,12,10,13,13,9,19,16,12,13,21,3,17,18,13,4,7,3,10,-,-,-,12,-,7,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,17,13,11,20,15,23,20,19,17,16,16,16,16,11,15,16,16,19,19,12,10,9,4,11,7,13,12,17,0,17,11,-,-,-,15,15,3,-,-,-,-,25,23,11,-,-,-,-
-,-,-,-,-,-,-,-,-,16,11,13,2,18,14,16,14,23,22,-,11,8,6,8,12,14,13,13,4,11,1,-,19,13,18,11,20,21,-,2,-,25,-,-,-,-,-,-,-,-,22,23,11,-,-,-,14
-,-,-,-,-,-,-,18,-,19,19,13,22,17,12,18,17,21,13,12,14,14,12,11,16,15,17,20,13,15,12,14,7,9,13,23,25,24,13,-,-,24,21,18,-,-,15,16,17,17,18,20,15,12,-,-,-
-,-,-,-,-,-,-,-,-,8,18,11,19,21,19,20,18,8,12,-,-,29,12,17,1,18,18,12,15,-,-,6,10,6,7,-,8,-,8,-,23,16,23,22,-,14,14,3,-,-,-,12,23,12,-,-,-
-,-,-,-,-,-,-,-,-,19,18,15,21,17,18,10,11,9,12,-,16,-,2,-,16,-,22,20,-,28,10,12,14,1,-,-,-,14,17,-,-,-,24,-,-,13,9,-,8,-,-,-,-,-,14,13,-
-,-,-,-,-,-,-,-,-,20,16,20,17,17,-,13,9,14,15,15,17,12,16,14,6,-,22,-,-,-,-,11,14,18,-,12,-,25,8,-,-,14,-,-,3,2,-,-,19,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,7,11,12,-,12,13,21,1,22,-,-,-,24,-,-,-,-,13,-,-,-,-,24,-,-,-,11,25,-,-,-,-,14,-,-,-,-,-,24,-,-,-,-,-,-,-,6
-,-,-,-,-,-,-,-,-,-,3,11,6,7,8,9,20,-,27,-,22,-,-,-,-,-,-,24,26,24,-,15,-,-,-,-,5,-,-,15,-,-,13,-,-,8,19,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,19,-,-,23,25,-,10,-,18,-,-,27,27,-,25,-,26,-,-,-,-,4,-,-,-,20,14,-,-,8,15,11,11,-,-,-,-,-,-,6,17
